rank,lemma,PoS,freq,perMil,%caps,%allC,range,disp,blog,web,TVM,spok,fic,mag,news,acad,blogPM,webPM,TVMPM,spokPM,ficPM,magPM,newsPM,acadPM
511,field,n,190489,191.83,0.07,0.01,82754,0.97,22422,26468,11383,12199,19414,28907,32079,37617,180.45,205.80,88.88,96.71,164.08,229.25,263.50,314.02
512,raise,v,190353,191.69,0.03,0.00,101400,0.98,23218,24524,11139,29140,26122,26711,31272,18227,186.86,190.68,86.97,231.02,220.77,211.84,256.87,152.16
521,light,n,185287,186.59,0.08,0.01,77051,0.95,17057,20935,20485,10114,59188,30390,15099,12019,137.28,162.77,159.95,80.18,500.23,241.02,124.02,100.33
529,price,n,181918,183.20,0.06,0.01,63203,0.95,32694,26232,6584,18735,5748,34063,36900,20962,263.12,203.96,51.41,148.53,48.58,270.15,303.10,174.99
532,quite,r,181432,182.71,0.05,0.00,97539,0.98,32594,27694,20375,30997,24352,17794,12292,15334,262.32,215.33,159.09,245.74,205.81,141.12,100.97,128.01
533,along,i,181372,182.65,0.07,0.00,106527,0.97,22607,23782,6903,16451,30878,31118,27992,21641,181.94,184.91,53.90,130.42,260.97,246.79,229.93,180.66
534,voice,n,181328,182.60,0.08,0.03,69628,0.92,13373,18440,13844,15955,75501,15761,14023,14431,107.63,143.38,108.09,126.49,638.10,125.00,115.19,120.47
541,photo,n,177976,179.23,0.51,0.35,62039,0.91,23486,18956,7612,9368,9405,59215,26631,23303,189.02,147.39,59.43,74.27,79.49,469.62,218.75,194.53
543,space,n,177126,178.37,0.11,0.01,68915,0.97,22351,25166,11820,12061,21119,33308,23505,27796,179.88,195.67,92.29,95.62,178.49,264.16,193.07,232.04
551,major,j,175432,176.66,0.02,0.00,96796,0.96,22419,23693,6044,21734,4557,28509,33155,35321,180.43,184.22,47.19,172.31,38.51,226.10,272.34,294.86
563,cause,v,170629,171.83,0.05,0.00,88913,0.97,26893,31420,15626,16332,11852,27487,17131,23888,216.44,244.30,122.01,129.48,100.17,217.99,140.72,199.41
564,happy,j,170573,171.77,0.12,0.01,83484,0.98,25144,21115,43288,24760,22892,16150,13368,3856,202.36,164.17,337.99,196.30,193.47,128.08,109.81,32.19
567,teach,v,169673,170.87,0.06,0.01,71917,0.96,22091,22529,17566,12934,15322,19430,17717,42084,177.79,175.17,137.15,102.54,129.49,154.09,145.53,351.31
568,early,r,169653,170.85,0.12,0.01,106951,0.97,19677,20442,11295,27168,16953,25424,29771,18923,158.36,158.94,88.19,215.39,143.28,201.63,244.54,157.97
570,share,v,168892,170.08,0.08,0.00,95852,0.96,36064,30739,11341,13524,12829,24293,17873,22229,290.24,239.00,88.55,107.22,108.42,192.66,146.81,185.57
572,carry,v,168820,170.01,0.02,0.00,92824,0.98,18128,22221,13268,15795,31365,25654,23248,19141,145.90,172.77,103.60,125.22,265.08,203.46,190.96,159.79
573,clear,j,168587,169.77,0.03,0.00,96846,0.98,23861,24419,14769,23640,17641,21327,18103,24827,192.03,189.86,115.32,187.42,149.09,169.14,148.70,207.25
577,image,n,167053,168.23,0.13,0.02,63665,0.95,21015,26892,4771,9984,14305,33352,17175,39559,169.13,209.09,37.25,79.15,120.90,264.51,141.08,330.23
584,piece,n,165538,166.70,0.02,0.01,85650,0.98,21946,20300,21451,19980,23106,28601,18146,12008,176.62,157.84,167.49,158.40,195.28,226.83,149.05,100.24
585,paper,n,165070,166.23,0.06,0.01,71038,0.97,18406,21460,14912,11621,29897,24790,16854,27130,148.13,166.86,116.43,92.13,252.67,196.60,138.44,226.48
595,media,n,162177,163.32,0.11,0.01,63585,0.95,35188,30313,3798,26014,2366,20016,23745,20737,283.19,235.69,29.65,206.24,20.00,158.74,195.04,173.11
603,catch,v,160594,161.72,0.04,0.01,86139,0.97,15635,15367,27698,15882,41617,19286,18710,6399,125.83,119.48,216.26,125.91,351.73,152.95,153.69,53.42
